Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:58:27.555000,NOR,1,0 days 00:01:31.580000,1.0,1.0,,,,0 days 00:00:31.558000,0 days 00:00:28.638000,,0 days 00:57:59.092000,0 days 00:58:27.777000,315.0,314.0,312.0,263.0,False,MEDIUM,1.0,True,McLaren,0 days 00:56:55.761000,,1,7.0,,,False,False
0 days 00:59:54.470000,NOR,1,0 days 00:01:26.915000,2.0,1.0,,,0 days 00:00:28.318000,0 days 00:00:30.159000,0 days 00:00:28.438000,0 days 00:58:55.988000,0 days 00:59:26.147000,0 days 00:59:54.585000,294.0,314.0,312.0,318.0,True,MEDIUM,2.0,True,McLaren,0 days 00:58:27.555000,,1,6.0,,,False,True
0 days 01:02:10.297000,NOR,1,0 days 00:02:15.827000,3.0,1.0,,0 days 01:02:05.923000,0 days 00:00:36.828000,0 days 00:00:40.413000,0 days 00:00:58.586000,0 days 01:00:31.413000,0 days 01:01:11.826000,0 days 01:02:10.412000,136.0,166.0,,,False,MEDIUM,3.0,True,McLaren,0 days 00:59:54.470000,,1245,6.0,,,False,False
0 days 01:34:43.527000,NOR,1,,4.0,2.0,0 days 01:32:46.490000,,,0 days 00:00:39.475000,0 days 00:00:41.193000,,0 days 01:34:02.491000,0 days 01:34:43.642000,280.0,225.0,98.0,228.0,False,HARD,1.0,True,McLaren,0 days 01:32:24.927000,,1,6.0,,,False,False
0 days 01:38:01.292000,NOR,1,,5.0,2.0,,,,0 days 00:00:33.842000,0 days 00:00:41.814000,,0 days 01:37:19.593000,0 days 01:38:01.578000,276.0,265.0,70.0,221.0,False,HARD,2.0,True,McLaren,0 days 01:34:43.527000,,1,6.0,,,False,False
0 days 01:40:39.695000,NOR,1,,6.0,2.0,,,0 days 00:01:36.733000,0 days 00:00:32.157000,0 days 00:00:29.550000,0 days 01:39:38.413000,0 days 01:40:10.391000,0 days 01:40:39.810000,307.0,320.0,309.0,292.0,False,HARD,3.0,True,McLaren,0 days 01:38:01.292000,,12,6.0,,,False,False
0 days 01:42:06.688000,NOR,1,0 days 00:01:26.993000,7.0,2.0,,,0 days 00:00:28.554000,0 days 00:00:29.732000,0 days 00:00:28.707000,0 days 01:41:08.364000,0 days 01:41:38.096000,0 days 01:42:06.803000,297.0,324.0,318.0,314.0,False,HARD,4.0,True,McLaren,0 days 01:40:39.695000,,1,7.0,,,False,True
0 days 01:43:33.121000,NOR,1,0 days 00:01:26.433000,8.0,2.0,,,0 days 00:00:28.296000,0 days 00:00:29.685000,0 days 00:00:28.452000,0 days 01:42:35.099000,0 days 01:43:04.784000,0 days 01:43:33.236000,303.0,325.0,316.0,314.0,True,HARD,5.0,True,McLaren,0 days 01:42:06.688000,,1,7.0,,,False,True
0 days 01:44:59.324000,NOR,1,0 days 00:01:26.203000,9.0,2.0,,,0 days 00:00:28.021000,0 days 00:00:29.764000,0 days 00:00:28.418000,0 days 01:44:01.257000,0 days 01:44:31.021000,0 days 01:44:59.439000,300.0,321.0,315.0,321.0,True,HARD,6.0,True,McLaren,0 days 01:43:33.121000,,1,7.0,,,False,True
0 days 01:46:25.915000,NOR,1,0 days 00:01:26.591000,10.0,2.0,,,0 days 00:00:28.097000,0 days 00:00:29.551000,0 days 00:00:28.943000,0 days 01:45:27.536000,0 days 01:45:57.087000,0 days 01:46:26.030000,294.0,315.0,320.0,319.0,False,HARD,7.0,True,McLaren,0 days 01:44:59.324000,,1,7.0,,,False,True
0 days 01:47:52.153000,NOR,1,0 days 00:01:26.238000,11.0,2.0,,,0 days 00:00:27.859000,0 days 00:00:29.649000,0 days 00:00:28.730000,0 days 01:46:53.889000,0 days 01:47:23.538000,0 days 01:47:52.268000,301.0,328.0,323.0,332.0,False,HARD,8.0,True,McLaren,0 days 01:46:25.915000,,1,7.0,,,False,True
0 days 01:49:18.366000,NOR,1,0 days 00:01:26.213000,12.0,2.0,,,0 days 00:00:27.981000,0 days 00:00:29.641000,0 days 00:00:28.591000,0 days 01:48:20.249000,0 days 01:48:49.890000,0 days 01:49:18.481000,301.0,326.0,319.0,331.0,False,HARD,9.0,True,McLaren,0 days 01:47:52.153000,,1,7.0,,,False,True
0 days 01:50:44.436000,NOR,1,0 days 00:01:26.070000,13.0,2.0,,,0 days 00:00:27.904000,0 days 00:00:29.627000,0 days 00:00:28.539000,0 days 01:49:46.385000,0 days 01:50:16.012000,0 days 01:50:44.551000,301.0,327.0,321.0,331.0,True,HARD,10.0,True,McLaren,0 days 01:49:18.366000,,1,7.0,,,False,True
0 days 01:52:10.496000,NOR,1,0 days 00:01:26.060000,14.0,2.0,,,0 days 00:00:27.873000,0 days 00:00:29.841000,0 days 00:00:28.346000,0 days 01:51:12.424000,0 days 01:51:42.265000,0 days 01:52:10.611000,299.0,318.0,326.0,329.0,True,HARD,11.0,True,McLaren,0 days 01:50:44.436000,,1,7.0,,,False,True
0 days 01:53:36.697000,NOR,1,0 days 00:01:26.201000,15.0,2.0,,,0 days 00:00:27.841000,0 days 00:00:29.971000,0 days 00:00:28.389000,0 days 01:52:38.452000,0 days 01:53:08.423000,0 days 01:53:36.812000,300.0,320.0,323.0,338.0,False,HARD,12.0,True,McLaren,0 days 01:52:10.496000,,1,7.0,,,False,True
0 days 01:55:02.959000,NOR,1,0 days 00:01:26.262000,16.0,2.0,,,0 days 00:00:27.581000,0 days 00:00:29.990000,0 days 00:00:28.691000,0 days 01:54:04.393000,0 days 01:54:34.383000,0 days 01:55:03.074000,310.0,326.0,322.0,334.0,False,HARD,13.0,True,McLaren,0 days 01:53:36.697000,,1,7.0,,,False,True
0 days 01:56:29.508000,NOR,1,0 days 00:01:26.549000,17.0,2.0,,,0 days 00:00:27.840000,0 days 00:00:30.267000,0 days 00:00:28.442000,0 days 01:55:30.914000,0 days 01:56:01.181000,0 days 01:56:29.623000,301.0,314.0,322.0,336.0,False,HARD,14.0,True,McLaren,0 days 01:55:02.959000,,1,7.0,,,False,True
0 days 01:57:55.964000,NOR,1,0 days 00:01:26.456000,18.0,2.0,,,0 days 00:00:27.764000,0 days 00:00:30.315000,0 days 00:00:28.377000,0 days 01:56:57.387000,0 days 01:57:27.702000,0 days 01:57:56.079000,301.0,319.0,331.0,328.0,False,HARD,15.0,True,McLaren,0 days 01:56:29.508000,,1,7.0,,,False,True
0 days 01:59:22.954000,NOR,1,0 days 00:01:26.990000,19.0,2.0,,,0 days 00:00:27.933000,0 days 00:00:30.241000,0 days 00:00:28.816000,0 days 01:58:24.012000,0 days 01:58:54.253000,0 days 01:59:23.069000,315.0,325.0,318.0,333.0,False,HARD,16.0,True,McLaren,0 days 01:57:55.964000,,1,7.0,,,False,True
0 days 02:00:51.763000,NOR,1,0 days 00:01:28.809000,20.0,2.0,,,0 days 00:00:29.327000,0 days 00:00:30.428000,0 days 00:00:29.054000,0 days 01:59:52.396000,0 days 02:00:22.824000,0 days 02:00:51.878000,267.0,302.0,323.0,335.0,False,HARD,17.0,True,McLaren,0 days 01:59:22.954000,,1,7.0,,,False,True
0 days 02:02:18.491000,NOR,1,0 days 00:01:26.728000,21.0,2.0,,,0 days 00:00:28.008000,0 days 00:00:29.821000,0 days 00:00:28.899000,0 days 02:01:19.886000,0 days 02:01:49.707000,0 days 02:02:18.606000,290.0,307.0,296.0,322.0,False,HARD,18.0,True,McLaren,0 days 02:00:51.763000,,1,6.0,,,False,True
0 days 02:03:45.591000,NOR,1,0 days 00:01:27.100000,22.0,2.0,,,0 days 00:00:28.380000,0 days 00:00:29.895000,0 days 00:00:28.825000,0 days 02:02:46.986000,0 days 02:03:16.881000,0 days 02:03:45.706000,295.0,304.0,295.0,310.0,False,HARD,19.0,True,McLaren,0 days 02:02:18.491000,,1,6.0,,,False,True
0 days 02:05:11.297000,NOR,1,0 days 00:01:25.706000,23.0,2.0,,,0 days 00:00:28.322000,0 days 00:00:29.180000,0 days 00:00:28.204000,0 days 02:04:14.028000,0 days 02:04:43.208000,0 days 02:05:11.412000,297.0,305.0,302.0,309.0,True,HARD,20.0,True,McLaren,0 days 02:03:45.591000,,1,6.0,,,False,True
0 days 02:06:37.285000,NOR,1,0 days 00:01:25.988000,24.0,2.0,,,0 days 00:00:28.272000,0 days 00:00:29.366000,0 days 00:00:28.350000,0 days 02:05:39.684000,0 days 02:06:09.050000,0 days 02:06:37.400000,291.0,308.0,309.0,306.0,False,HARD,21.0,True,McLaren,0 days 02:05:11.297000,,1,6.0,,,False,True
0 days 02:08:03.415000,NOR,1,0 days 00:01:26.130000,25.0,2.0,,,0 days 00:00:28.315000,0 days 00:00:29.436000,0 days 00:00:28.379000,0 days 02:07:05.715000,0 days 02:07:35.151000,0 days 02:08:03.530000,292.0,307.0,312.0,307.0,False,HARD,22.0,True,McLaren,0 days 02:06:37.285000,,1,6.0,,,False,True
0 days 02:09:29.279000,NOR,1,0 days 00:01:25.864000,26.0,2.0,,,0 days 00:00:28.195000,0 days 00:00:29.376000,0 days 00:00:28.293000,0 days 02:08:31.725000,0 days 02:09:01.101000,0 days 02:09:29.394000,290.0,307.0,313.0,308.0,False,HARD,23.0,True,McLaren,0 days 02:08:03.415000,,1,6.0,,,False,True
0 days 02:10:55.385000,NOR,1,0 days 00:01:26.106000,27.0,2.0,,,0 days 00:00:28.169000,0 days 00:00:29.612000,0 days 00:00:28.325000,0 days 02:09:57.563000,0 days 02:10:27.175000,0 days 02:10:55.500000,290.0,308.0,314.0,310.0,False,HARD,24.0,True,McLaren,0 days 02:09:29.279000,,12,6.0,,,False,True
0 days 02:12:46.531000,NOR,1,0 days 00:01:51.146000,28.0,2.0,,,0 days 00:00:34.503000,0 days 00:00:39.335000,0 days 00:00:37.308000,0 days 02:11:30.003000,0 days 02:12:09.338000,0 days 02:12:46.646000,295.0,281.0,270.0,269.0,False,HARD,25.0,True,McLaren,0 days 02:10:55.385000,,26,6.0,,,False,False
0 days 02:14:18.021000,NOR,1,0 days 00:01:31.490000,29.0,2.0,,,0 days 00:00:33.748000,0 days 00:00:29.508000,0 days 00:00:28.234000,0 days 02:13:20.394000,0 days 02:13:49.902000,0 days 02:14:18.136000,292.0,308.0,314.0,171.0,False,HARD,26.0,True,McLaren,0 days 02:12:46.531000,,671,4.0,,,False,False
0 days 02:15:44.343000,NOR,1,0 days 00:01:26.322000,30.0,2.0,,,0 days 00:00:28.753000,0 days 00:00:29.328000,0 days 00:00:28.241000,0 days 02:14:46.889000,0 days 02:15:16.217000,0 days 02:15:44.458000,295.0,310.0,316.0,310.0,False,HARD,27.0,True,McLaren,0 days 02:14:18.021000,,1,4.0,,,False,True
0 days 02:17:10.734000,NOR,1,0 days 00:01:26.391000,31.0,2.0,,,0 days 00:00:28.137000,0 days 00:00:30.094000,0 days 00:00:28.160000,0 days 02:16:12.595000,0 days 02:16:42.689000,0 days 02:17:10.849000,291.0,317.0,319.0,310.0,False,HARD,28.0,True,McLaren,0 days 02:15:44.343000,,1,5.0,,,False,True
0 days 02:18:36.419000,NOR,1,0 days 00:01:25.685000,32.0,2.0,,,0 days 00:00:27.960000,0 days 00:00:29.385000,0 days 00:00:28.340000,0 days 02:17:38.809000,0 days 02:18:08.194000,0 days 02:18:36.534000,296.0,314.0,315.0,320.0,True,HARD,29.0,True,McLaren,0 days 02:17:10.734000,,1,5.0,,,False,True
0 days 02:20:02.853000,NOR,1,0 days 00:01:26.434000,33.0,2.0,,,0 days 00:00:28.374000,0 days 00:00:29.648000,0 days 00:00:28.412000,0 days 02:19:04.908000,0 days 02:19:34.556000,0 days 02:20:02.968000,302.0,319.0,318.0,316.0,False,HARD,30.0,True,McLaren,0 days 02:18:36.419000,,1,6.0,,,False,True
0 days 02:21:28.044000,NOR,1,0 days 00:01:25.191000,34.0,2.0,,,0 days 00:00:27.935000,0 days 00:00:29.174000,0 days 00:00:28.082000,0 days 02:20:30.903000,0 days 02:21:00.077000,0 days 02:21:28.159000,299.0,316.0,321.0,320.0,True,HARD,31.0,True,McLaren,0 days 02:20:02.853000,,1,6.0,,,False,True
0 days 02:22:53.015000,NOR,1,0 days 00:01:24.971000,35.0,2.0,,,0 days 00:00:27.755000,0 days 00:00:29.146000,0 days 00:00:28.070000,0 days 02:21:55.914000,0 days 02:22:25.060000,0 days 02:22:53.130000,299.0,315.0,318.0,317.0,True,HARD,32.0,True,McLaren,0 days 02:21:28.044000,,1,6.0,,,False,True
0 days 02:24:18.367000,NOR,1,0 days 00:01:25.352000,36.0,2.0,,,0 days 00:00:27.930000,0 days 00:00:29.293000,0 days 00:00:28.129000,0 days 02:23:21.060000,0 days 02:23:50.353000,0 days 02:24:18.482000,296.0,314.0,317.0,318.0,False,HARD,33.0,True,McLaren,0 days 02:22:53.015000,,1,6.0,,,False,True
0 days 02:25:43.587000,NOR,1,0 days 00:01:25.220000,37.0,2.0,,,0 days 00:00:27.968000,0 days 00:00:29.159000,0 days 00:00:28.093000,0 days 02:24:46.450000,0 days 02:25:15.609000,0 days 02:25:43.702000,293.0,313.0,316.0,314.0,False,HARD,34.0,True,McLaren,0 days 02:24:18.367000,,1,6.0,,,False,True
0 days 02:27:08.875000,NOR,1,0 days 00:01:25.288000,38.0,2.0,,,0 days 00:00:27.986000,0 days 00:00:29.242000,0 days 00:00:28.060000,0 days 02:26:11.688000,0 days 02:26:40.930000,0 days 02:27:08.990000,294.0,313.0,319.0,315.0,False,HARD,35.0,True,McLaren,0 days 02:25:43.587000,,1,6.0,,,False,True
0 days 02:28:34.088000,NOR,1,0 days 00:01:25.213000,39.0,2.0,,,0 days 00:00:27.893000,0 days 00:00:29.226000,0 days 00:00:28.094000,0 days 02:27:36.883000,0 days 02:28:06.109000,0 days 02:28:34.203000,295.0,314.0,321.0,315.0,False,HARD,36.0,True,McLaren,0 days 02:27:08.875000,,1,6.0,,,False,True
0 days 02:29:59.250000,NOR,1,0 days 00:01:25.162000,40.0,2.0,,,0 days 00:00:27.785000,0 days 00:00:29.299000,0 days 00:00:28.078000,0 days 02:29:01.988000,0 days 02:29:31.287000,0 days 02:29:59.365000,299.0,320.0,322.0,319.0,False,HARD,37.0,True,McLaren,0 days 02:28:34.088000,,1,6.0,,,False,True
0 days 02:31:25.423000,NOR,1,0 days 00:01:26.173000,41.0,2.0,,,0 days 00:00:27.714000,0 days 00:00:29.710000,0 days 00:00:28.749000,0 days 02:30:27.079000,0 days 02:30:56.789000,0 days 02:31:25.538000,307.0,323.0,325.0,320.0,False,HARD,38.0,True,McLaren,0 days 02:29:59.250000,,1,6.0,,,False,True
0 days 02:32:50.490000,NOR,1,0 days 00:01:25.067000,42.0,2.0,,,0 days 00:00:27.770000,0 days 00:00:29.184000,0 days 00:00:28.113000,0 days 02:31:53.308000,0 days 02:32:22.492000,0 days 02:32:50.605000,297.0,319.0,311.0,322.0,False,HARD,39.0,True,McLaren,0 days 02:31:25.423000,,1,5.0,,,False,True
0 days 02:34:15.972000,NOR,1,0 days 00:01:25.482000,43.0,2.0,,,0 days 00:00:28.224000,0 days 00:00:29.200000,0 days 00:00:28.058000,0 days 02:33:18.829000,0 days 02:33:48.029000,0 days 02:34:16.087000,294.0,318.0,307.0,317.0,False,HARD,40.0,True,McLaren,0 days 02:32:50.490000,,1,5.0,,,False,True
